RNA_cell_ID	Perturbation
CH02.3.cDNA.B9_S125	MT
CH02.3.cDNA.C10_S138	MT
CH02.3.cDNA.C11_S139	MT
CH02.3.cDNA.C12_S140	MT
CH02.3.cDNA.C1_S129	MT
CH02.3.cDNA.C2_S130	MT
CH02.3.cDNA.C3_S131	MT
CH02.3.cDNA.C4_S132	WT
CH02.3.cDNA.C5_S133	WT
CH02.3.cDNA.C6_S134	MT
CH02.3.cDNA.C7_S135	MT
CH02.3.cDNA.C8_S136	MT
CH02.3.cDNA.C9_S137	MT
CH02.3.cDNA.D10_S150	MT
CH02.3.cDNA.D11_S151	MT
CH02.3.cDNA.D12_S152	MT
CH02.3.cDNA.D1_S141	MT
CH02.3.cDNA.D2_S142	WT
CH02.3.cDNA.D3_S143	MT
CH02.3.cDNA.D4_S144	MT
CH02.3.cDNA.D5_S145	MT
CH02.3.cDNA.D6_S146	MT
CH02.3.cDNA.D7_S147	MT
CH02.3.cDNA.D8_S148	WT
CH02.3.cDNA.D9_S149	NG
CH02.3.cDNA.E10_S162	MT
CH02.3.cDNA.E11_S163	MT
CH02.3.cDNA.E12_S164	NG
CH02.3.cDNA.E1_S153	MT
CH02.3.cDNA.E3_S155	WT
CH02.3.cDNA.E4_S156	MT
CH02.3.cDNA.E5_S157	NG
CH02.3.cDNA.E6_S158	MT
CH02.3.cDNA.E7_S159	NG
CH02.3.cDNA.E8_S160	MT
CH02.3.cDNA.F10_S174	MT
CH02.3.cDNA.F11_S175	MT
CH02.3.cDNA.F12_S176	MT
CH02.3.cDNA.F1_S165	MT
CH02.3.cDNA.F2_S166	WT
CH02.3.cDNA.F3_S167	NG
CH02.3.cDNA.F4_S168	WT
CH02.3.cDNA.F5_S169	MT
CH02.3.cDNA.F6_S170	MT
CH02.3.cDNA.F7_S171	MT
CH02.3.cDNA.F9_S173	NG
CH02.3.cDNA.G10_S186	MT
CH02.3.cDNA.G11_S187	WT
CH02.3.cDNA.G12_S188	WT
CH02.3.cDNA.G1_S177	MT
CH02.3.cDNA.G2_S178	MT
CH02.3.cDNA.G3_S179	NG
CH02.3.cDNA.G5_S181	MT
CH02.3.cDNA.G6_S182	MT
CH02.3.cDNA.G7_S183	WT
CH02.3.cDNA.G8_S184	MT
CH02.3.cDNA.H10_S198	MT
CH02.3.cDNA.H11_S199	MT
CH02.3.cDNA.H12_S200	MT
CH02.3.cDNA.H1_S189	WT
CH02.3.cDNA.H2_S190	MT
CH02.3.cDNA.H3_S191	WT
CH02.3.cDNA.H5_S193	MT
CH02.3.cDNA.H6_S194	WT
CH02.3.cDNA.H7_S195	MT
CH02.3.cDNA.H8_S196	MT
CH02.3.cDNA.H9_S197	MT
CH04_SS2_P1_A10_S10	MT
CH04_SS2_P1_A11_S11	MT
CH04_SS2_P1_A12_S12	MT
CH04_SS2_P1_A1_S1	NG
CH04_SS2_P1_A2_S2	WT
CH04_SS2_P1_A3_S3	WT
CH04_SS2_P1_A4_S4	MT
CH04_SS2_P1_A5_S5	NG
CH04_SS2_P1_A7_S7	WT
CH04_SS2_P1_A8_S8	MT
CH04_SS2_P1_A9_S9	MT
CH04_SS2_P1_B10_S22	MT
CH04_SS2_P1_B11_S23	MT
CH04_SS2_P1_B12_S24	MT
CH04_SS2_P1_B1_S13	NG
CH04_SS2_P1_B2_S14	WT
CH04_SS2_P1_B3_S15	WT
CH04_SS2_P1_B4_S16	MT
CH04_SS2_P1_B6_S18	WT
CH04_SS2_P1_B7_S19	WT
CH04_SS2_P1_B8_S20	MT
CH04_SS2_P1_B9_S21	MT
CH04_SS2_P1_C10_S34	MT
CH04_SS2_P1_C11_S35	MT
CH04_SS2_P1_C12_S36	MT
CH04_SS2_P1_C1_S25	NG
CH04_SS2_P1_C2_S26	WT
CH04_SS2_P1_C4_S28	MT
CH04_SS2_P1_C5_S29	NG
CH04_SS2_P1_C6_S30	WT
CH04_SS2_P1_C7_S31	WT
CH04_SS2_P1_C8_S32	MT
CH04_SS2_P1_C9_S33	MT
CH04_SS2_P1_D10_S46	MT
CH04_SS2_P1_D12_S48	MT
CH04_SS2_P1_D1_S37	NG
CH04_SS2_P1_D2_S38	WT
CH04_SS2_P1_D3_S39	WT
CH04_SS2_P1_D4_S40	MT
CH04_SS2_P1_D5_S41	NG
CH04_SS2_P1_D6_S42	WT
CH04_SS2_P1_D7_S43	WT
CH04_SS2_P1_D8_S44	MT
CH04_SS2_P1_D9_S45	MT
CH04_SS2_P1_E10_S58	MT
CH04_SS2_P1_E11_S59	MT
CH04_SS2_P1_E12_S60	MT
CH04_SS2_P1_E1_S49	NG
CH04_SS2_P1_E2_S50	WT
CH04_SS2_P1_E3_S51	WT
CH04_SS2_P1_E4_S52	MT
CH04_SS2_P1_E5_S53	NG
CH04_SS2_P1_E6_S54	WT
CH04_SS2_P1_E7_S55	WT
CH04_SS2_P1_E8_S56	MT
CH04_SS2_P1_E9_S57	MT
CH04_SS2_P1_F10_S70	MT
CH04_SS2_P1_F11_S71	MT
CH04_SS2_P1_F12_S72	MT
CH04_SS2_P1_F1_S61	NG
CH04_SS2_P1_F2_S62	WT
CH04_SS2_P1_F3_S63	WT
CH04_SS2_P1_F4_S64	MT
CH04_SS2_P1_F5_S65	NG
CH04_SS2_P1_F6_S66	WT
CH04_SS2_P1_F7_S67	WT
CH04_SS2_P1_F8_S68	MT
CH04_SS2_P1_F9_S69	MT
CH04_SS2_P1_G10_S82	MT
CH04_SS2_P1_G11_S83	MT
CH04_SS2_P1_G12_S84	MT
CH04_SS2_P1_G1_S73	NG
CH04_SS2_P1_G2_S74	WT
CH04_SS2_P1_G3_S75	WT
CH04_SS2_P1_G4_S76	MT
CH04_SS2_P1_G5_S77	NG
CH04_SS2_P1_G6_S78	WT
CH04_SS2_P1_G7_S79	WT
CH04_SS2_P1_G8_S80	MT
CH04_SS2_P1_G9_S81	MT
CH04_SS2_P1_H10_S94	MT
CH04_SS2_P1_H11_S95	MT
CH04_SS2_P1_H12_S96	MT
CH04_SS2_P1_H1_S85	NG
CH04_SS2_P1_H2_S86	WT
CH04_SS2_P1_H3_S87	WT
CH04_SS2_P1_H4_S88	MT
CH04_SS2_P1_H5_S89	NG
CH04_SS2_P1_H6_S90	WT
CH04_SS2_P1_H7_S91	WT
CH04_SS2_P1_H8_S92	MT
CH04_SS2_P1_H9_S93	MT
CH04.pl2.A10_S110	MT
CH04.pl2.A12_S112	WT
CH04.pl2.A1_S101	WT
CH04.pl2.A2_S102	WT
CH04.pl2.A3_S103	MT
CH04.pl2.A4_S104	WT
CH04.pl2.A5_S105	WT
CH04.pl2.A6_S106	WT
CH04.pl2.A7_S107	WT
CH04.pl2.A8_S108	WT
CH04.pl2.A9_S109	WT
CH04.pl2.B10_S122	MT
CH04.pl2.B11_S123	MT
CH04.pl2.B12_S124	WT
CH04.pl2.B1_S113	WT
CH04.pl2.B2_S114	WT
CH04.pl2.B3_S115	WT
CH04.pl2.B4_S116	WT
CH04.pl2.B5_S117	WT
CH04.pl2.B7_S119	WT
CH04.pl2.B8_S120	WT
